start_station,end_station,count
Anker Hotel,The Hub,352
Majorstua skole,Majorstua skole,352
Toeyen skole,Enerhaugen,351
Bislett Stadion,Bislett Stadion,351
Skillebekk,Frognerstranda,351
Karenslyst allé,Furulund,351
Torshovparken vest,Ringnes Park,351
Marcus Thranes gate,Alexander Kiellands Plass,351
Sinsen T-bane,Hans Nielsen Hauges plass,351
Professor Aschehougs plass,Professor Aschehougs plass,350
Helga Helgesens plass,AHO,350
Sofienbergparken nordvest,Toeyenbekken,350
Oslo Hospital,Rostockgata,350
Kirkeristen,Lakkegata,348
Ringnes Park,Carl Berners plass soer,348
Toeyen skole,Birkelunden,348
Birkelunden,Aker Brygge,348
Lakkegata,Lakkegata,348
Vulkan,Torggata,348
Jernbanetorget,Vulkan,348
Hydroparken,Frognerstranda,348
Oslo Plaza,Helga Helgesens plass,347
Jernbanetorget,Vippetangen oest,347
Paléhaven,Oslo Hospital,347
Ringnes Park,Helga Helgesens plass,346
Sofienbergparken nordvest,Bjoervika,346
Botanisk Hage soer,Jakob kirke,345
Schous plass trikkestopp,Schous plass trikkestopp,345
Annette Thommessens Plass,Aker Brygge,345
St. Hanshaugen park vest,Vaar Frelsers gravlund,344
Furulund,Karenslyst allé,344
Bjoervika,Sukkerbiten,344
Skillebekk,Saga Kino,344
Aker Brygge 3 mot Fergene,Saga Kino,343
Schous plass,Sentrum Scene,343
Oslo Plaza,Alexander Kiellands Plass,343
Ullevaal sykehus,Ringnes Park,343
Huk 1,Huk 1,343
The Hub,AHO,342
Gimle Kino,Skoeyen,342
Bislett Stadion,Aker Brygge,342
Paléhaven,Kvaernerbyen,342
Jakob kirke,Helga Helgesens plass,341
Alexander Kiellands Plass,Sukkerbiten,341
Karenslyst allé,Hoffsveien,341
Sofienbergparken nord,Schous plass,340
Vaar Frelsers gravlund,Vaar Frelsers gravlund,339
Vulkan,Alexander Kiellands Plass,339
Sofienbergparken soer,Toeyenbekken,339
Botanisk Hage soer,Birkelunden,339
Jernbanetorget,AHO,339
Sommerfrydhagen,Schous plass,339
Fredensborg,Fredensborg,339
Fagerheimgata,Jakob kirke,338
Over Raadhusgata,Aker Brygge,338
Bislett Stadion,St. Olavs gate,337
Sukkerbiten,Torggata,337
Jernbanetorget,Alexander Kiellands Plass,337
Sommerfrydhagen,The Hub,337
Sofienberggata,Olaf Ryes plass,337
Olaf Ryes plass,Paléhaven,337
Sofienbergparken nord,The Hub,337
Ringnes Park,Marcus Thranes gate,336
Alexander Kiellands Plass,Bankplassen,336
Torggata,Sukkerbiten,336
Groenlands torg,Sukkerbiten,335
Alexander Kiellands Plass,St. Olavs gate,335
Sjoesiden ved trappen,Olaf Ryes plass,335
Studentparlamentet,Aker Brygge,332
Tjuvholmen,Norsk Folkemuseum,332
Soendre gate,Soendre gate,331
Fred Olsens gate,Aker Brygge,331
Hammersborg Torg,Sjoesiden ved trappen,331
Soendre gate,Bankplassen,330
Skovveien,Tjuvholmen,330
Majorstuen,Frogner plass,330
Skillebekk,Hydroparken,330
Sofienbergparken nordvest,Botanisk Hage soer,330
Soendre gate,Aker Brygge,329
OsloMet,Aker Brygge,328
Kontraskjaeret,Tjuvholmen,328
Trondheimsveien,Sofienbergparken nordvest,328
Sofienbergparken nord,Sofienbergparken nord,328
Sjoesiden ved fontenen,Kvaernerbyen,327
Frogner Stadion,Thune,327
Sofienberggata,Toeyen skole,327
Jess Carlsens gate,Torggata,327
Olaf Ryes plass,Sofienberggata,327
Olaf Ryes plass,Skraaninga,327
Henrik Wergelands allé,Majorstuen,327
Vulkan,Kirkeristen,326
Bislett Stadion,Ringnes Park,326
Jenny Braatens Plass,Toeyen skole,326
Torggata,Helga Helgesens plass,326
Jess Carlsens gate,Botanisk Hage soer,326
Holbergs plass,7. juni-plassen,326
Aker Brygge,Lille Grensen,325
Fagerheimgata,Olaf Ryes plass,325
Jess Carlsens gate,Jernbanetorget,325
Nordre gate,Nordre gate,325
Munkegata,Oslo Hospital,325
Kirkegata 15,Aker Brygge,325
Vaar Frelsers gravlund,Spikersuppa Vest,324
Vulkan,Jernbanetorget,324
Vulkan,Hammersborg Torg,324
Karenslyst allé,Majorstuveien,324
Bjerregaards gate,Alexander Kiellands Plass,324
Jens Bjelkes Gate,Oslo Plaza,324
